ID,Nome do Cliente,Utilizador,Password,E-mail
1,Creuza José,creuzete,123,creuzete@gmail.com
2,Xavier Toledo,toxedo,456,xtoledo@yahoo.com
3,Setembrino Cruzes,cruzes,1234,cruzcredo@bol.com.br
4,Josefina Abreu,josefabs,999,josebs@gmail.com
5,Claudia Castro,clauclau,8888,clauclau@gmail.com
6,Oberlaque Santos,Oberales,1290,oberales@aol.com
7,Ling tung,tungtung,111,tungli@aol.com
8,Beatriz Souza,beatrix,9090,beatrix@gmail.com
9,Joana Carvalho,carvaljoan,12345,carvaljoan@yahoo.com
10,Malvino Cardoso,malvis,444,malvis@gmail.com
11,Setembrino Souza,stembris,1245,stemb@gmail.com
12,Lucas Dinossauro,Dinossauro,dinos,dinos@gmail.com
13,Galadriel,galads,gandalf,elfics@gmail.com
15,Roberval Taylor ,Taylor,Tayson,robstaylor@yahoo.com
17,Taumaturgo Oliveira,Taumats,tautau,tautolis@gmail.com
18,Maria Silveira,maris,marisilva,marisilva@gmail.com
19,Bod Dylan de Jesus,dylan,jesus,dylan_jsesus@gmail.com
20,Elvis Roberto,elvis,roberto,elvis@gmail.com
21,Anita Barbosa,anis,barbs,anita@gmail.com
22,Duffy Spencer,duffys,spenncer,duffy@gmail.com
23,Elis Regina,elis,reginas,elis_r@gmail.com
24,Tom Jobim,jobims,tomtom,jobimr@gmail.com
25,Auguto Miele,miele,augus,miele@gmail.com
26,Auris Miranda,auris,miras,miranbda@gmail.com
27,Debora Luchesi,debs,luchs,luchesi@gmail.com
28,Astrogildo cruz,crusez,astro,astros@gmail.com
