ID,Reserva ID,Nome do Cliente,Email do Cliente,Modelo,Período de Aluguer,Forma de Pagamento,Valor Total
102,5,Beatriz Souza,beatrix@gmail.com,r1300,10 dias,Mbway,355.0
103,6,Lucas Dinossauro,dinos@gmail.com,Model Y,13 dias,Mbway,591.5
105,9,Josefina Abreu,josebs@gmail.com,Ibiza,10 dias,Cartão,255.0
106,10,Xavier Toledo,xtoledo@yahoo.com,PCX,19 dias,Dinheiro,484.5
107,14,Creuza José,creuzete@gmail.com,Bmw420,9 dias,Dinheiro,409.5
108,15,Taumaturgo Oliveira,tautolis@gmail.com,Arona,8 dias,Dinheiro,204.0
109,22,Elis Regina,elis_r@gmail.com,C3,6 dias,Cartão,213.0
110,23,Tom Jobim,jobimr@gmail.com,Jogger,6 dias,Cartão,273.0
111,24,Auguto Miele,miele@gmail.com,Bmw420,6 dias,Cartão,273.0
112,25,Auris Miranda,miranbda@gmail.com,Qashqai,6 dias,Cartão,213.0
113,26,Debora Luchesi,luchesi@gmail.com,Model Y,6 dias,Cartão,273.0
114,27,Astrogildo cruz,astros@gmail.com,Vito,6 dias,Cartão,273.0
115,28,Creuza José,creuzete@gmail.com,Vito 111,6 dias,Cartão,273.0
118,31,Josefina Abreu,josebs@gmail.com,PCX,10 dias,Cartão,255.0
